STREET,AREA,roads_perc,roads_nodes,gdp,housing_price,pop_density,pois,zone_perc,access
佘山镇,松江区,0.188661038,880,155.2674334,21384,780.1379722,884,0.262768736,11.06890379
叶榭镇,松江区,0.23751553,1469,145.8820792,12267,679.5994124,418,0.162893396,12.8233553
小昆山镇,松江区,0.183578476,443,71.69153652,14878,505.8740365,628,0.265307755,10.71010835
岳阳街道,松江区,0.305749058,150,192.5657675,19342,11508.12666,273,0.817947025,0.415831308
新桥镇,松江区,0.19617477,391,138.5154952,41048,1324.220752,800,0.594700551,1.211866928
新浜镇,松江区,0.186083781,600,73.07295631,12267,550.8302467,339,0.150554308,11.4900011
永丰街道,松江区,0.195472446,228,150.3968911,34154,2065.870367,467,0.429144317,0.781489256
泖港镇,松江区,0.204315306,1168,112.3100212,11197,657.305526,479,0.175331209,23.873981
泗泾镇,松江区,0.196522086,293,217.3305333,29651,3065.284203,1724,0.623225257,1.381786088
洞泾镇,松江区,0.196805105,388,69.23699665,30119,962.1594565,572,0.430796639,4.251929978
石湖荡镇,松江区,0.301982253,1385,79.87333609,19636,607.7415412,349,0.1958965,8.608939959
车墩镇,松江区,0.237725896,854,129.1716429,18609,849.6958113,684,0.360255892,9.679515892
三林镇,浦东新区,0.273596756,754,913.2666752,135176,5328.144779,1179,0.636869392,1.875335678
上钢新村街道,浦东新区,0.248380405,157,437.8349145,45179,11509.27274,540,0.714120688,3.946268818
东明路街道,浦东新区,0.38649117,122,395.237848,45426,16066.27971,459,0.790625686,1.680198202
北蔡镇,浦东新区,0.27892425,525,830.4473964,56241,6788.931977,1223,0.71909842,0.572707605
南码头路街道,浦东新区,0.300687112,87,388.0832243,49281,18246.89964,288,0.787421399,0.293148325
合庆镇,浦东新区,0.275023275,1100,303.0844908,25776,1402.612507,604,0.543701605,3.054098141
周家渡街道,浦东新区,0.285259528,99,540.8554838,49960,19494.17389,464,0.807757664,0.303677026
唐镇,浦东新区,0.257084552,607,344.4640688,53669,2221.116305,792,0.61812757,2.921443888
塘桥街道,浦东新区,0.422392185,138,297.8738405,62260,15406.49175,261,0.801667248,0.184027967
张江镇,浦东新区,0.303958694,1187,595.1464521,48005,2580.683519,1628,0.578401945,1.084376297
曹路镇,浦东新区,0.239064133,660,445.8913815,32501,1920.852008,1095,0.553541046,2.291156188
沪东新村街道,浦东新区,0.246974436,80,371.8650752,29225,13703.11721,276,0.794260523,0.18228117
洋泾街道,浦东新区,0.323063366,133,615.9539817,72328,15891.08895,355,0.774241246,0.29647476
浦兴路街道,浦东新区,0.284262174,107,564.8896085,43621,18388.62063,485,0.801259594,0.47257049
潍坊新村街道,浦东新区,0.311701192,93,481.4791212,67808,25678.38615,376,0.827916125,0.148800258
花木街道,浦东新区,0.276519562,475,799.2185661,73984,7768.362984,1329,0.66790088,0.915352497
金杨新村街道,浦东新区,0.303666594,143,699.2041412,55337,17410.88437,426,0.788458364,0.635980246
金桥镇,浦东新区,0.265914594,472,197.0277156,90858,1536.012161,1542,0.691726916,1.996223146
陆家嘴街道,浦东新区,0.413233791,370,600.3571024,48567,18336.34093,999,0.719277426,0.227113844
高东镇,浦东新区,0.235651874,528,201.6621883,33434,1143.896166,803,0.708044728,5.478304339
高桥镇,浦东新区,0.17127929,422,472.6911591,32348,2427.596732,600,0.633462641,2.245477696
高行镇,浦东新区,0.230261465,379,394.1406053,45968,3488.07182,654,0.642083314,1.283412255
凉城新村街道,虹口区,0.44704292,266,196.7786004,51627,30141.67715,179,0.856954141,0.213076829
嘉兴路街道,虹口区,0.530289497,125,175.785314,80253,33459.03859,312,0.862381504,0.231209
广中路街道,虹口区,0.502463278,164,233.4861596,53800,39877.74001,174,0.891167617,0.377197776
北外滩街道,虹口区,0.521039279,240,163.9311815,79846,20607.3124,464,0.766730765,0.210216717
曲阳路街道,虹口区,0.476288847,135,216.8541474,56556,35280.00971,218,0.863426905,0.148872049
欧阳路街道,虹口区,0.414521384,47,151.157297,56279,44656.84293,189,0.808039964,0.343187507
江湾镇街道,虹口区,0.4519355,244,275.653865,51352,32368.44314,193,0.888350876,0.119478565
亭林镇,金山区,0.136606487,880,140.7524999,12125,473.4129261,2014,0.226672414,16.61072382
金山卫镇,金山区,0.133030046,262,128.8297219,10155,959.3082897,650,0.272967079,9.847970847
吕巷镇,金山区,0.119230617,244,101.8276317,10251,698.4176613,545,0.154852054,44.56707947
山阳镇,金山区,0.212633312,565,161.8164829,15846,1559.817629,850,0.428782121,3.177624393
廊下镇,金山区,0.107377753,215,73.09532956,7886,637.0627911,395,0.129065769,29.10067817
张堰镇,金山区,0.165379945,226,69.4314954,10087,810.8040698,442,0.213028173,11.10589182
朱泾镇,金山区,0.164627573,756,207.4171266,8995,1118.877701,958,0.24530569,0.82655997
枫泾镇,金山区,0.116686218,654,157.8267023,10910,702.172685,990,0.212234965,6.15377862
漕泾镇,金山区,0.15421572,368,70.02702162,6997,566.7983708,640,0.197829968,22.62398573
石化街道,金山区,0.19877254,126,127.0259881,13455,2981.48631,334,0.764227327,1.488861073
仙霞新村街道,长宁区,0.448751781,106,326.3131807,46767,36064.71639,483,0.871125837,0.182607295
北新泾街道,长宁区,0.730458256,87,201.0208002,52056,34675.344,504,0.873912808,0.21832147
华阳路街道,长宁区,0.629690189,109,271.187109,60867,31974.46027,592,0.783832438,0.412563571
周家桥街道,长宁区,0.477582073,59,247.7030886,43390,32663.51444,1100,0.81422617,0.290771565
天山路街道,长宁区,0.56261847,99,262.4937956,58072,34123.48244,701,0.86515985,0.332765122
新华路街道,长宁区,0.438097633,86,270.8007396,77665,30681.38489,256,0.856351948,0.203054171
新泾镇,长宁区,0.403707882,518,610.7575928,45738,12682.35907,1061,0.765339123,1.444571911
江苏路街道,长宁区,0.659033099,53,205.7095549,68249,33926.13361,240,0.875367526,0.173611287
程家桥街道,长宁区,0.278623308,218,116.1080558,47317,3653.492311,391,0.67300041,1.518134285
虹桥街道,长宁区,0.472032891,163,277.2160829,94073,16999.4661,437,0.819184772,0.333895951
七宝镇,闵行区,0.28335818,461,523.8838443,60700,8324.158132,847,0.802534476,1.554528578
华漕镇,闵行区,0.238906037,422,179.8178882,41395,2021.980125,664,0.67202999,1.388324785
古美路街道,闵行区,0.30419086,113,275.1318831,61426,13932.32396,364,0.837469761,0.594354102
吴泾镇,闵行区,0.20676287,589,206.3457644,38660,1904.418695,1000,0.58123571,1.011828131
新虹街道,闵行区,0.32843978,589,115.8922229,36754,1922.931865,1081,0.705104615,0.518097921
梅陇镇,闵行区,0.273970645,635,477.8260115,53767,5262.218169,1029,0.759478393,0.808442315
江川路街道,闵行区,0.202716586,269,445.0273949,30503,6110.402277,1377,0.721863397,0.489477943
莘庄镇,闵行区,0.34647295,711,557.4851912,45788,9263.394241,1037,0.754110823,0.679983405
虹桥镇,闵行区,0.279157994,241,277.6187731,60107,8008.877762,507,0.843697448,0.675287762
颛桥镇,闵行区,0.242533223,633,270.8097312,34676,2051.771334,971,0.718614861,0.599290086
马桥镇,闵行区,0.19301619,425,171.0602578,41311,1403.299762,673,0.454737299,2.746893783
临汾路街道,静安区,0.365450017,51,229.3154496,39166,28638.52966,84,0.854166013,0.306127869
共和新路街道,静安区,0.501477541,138,299.218203,63530,29318.39201,138,0.870743156,0.800537647
北站街道,静安区,0.62447978,139,144.1339782,166022,21958.73642,227,0.859723259,0.185706582
大宁路街道,静安区,0.362217044,234,318.1856614,68386,13494.53999,340,0.886202439,0.531057321
天目西路街道,静安区,0.712555962,147,105.6004828,68389,14542.01958,350,0.865813516,0.222606265
宝山路街道,静安区,0.508808784,90,221.5788216,101069,36565.12777,116,0.913078679,0.233110013
彭浦新村街道,静安区,0.306717838,50,450.1984235,50091,36620.32828,165,0.892486985,0.546233663
彭浦镇,静安区,0.387119947,347,423.5729006,32329,14382.39914,569,0.844034347,0.644038195
芷江西路街道,静安区,0.592698562,94,230.392891,59955,39048.36752,109,0.912675698,0.329884847
华新镇,青浦区,0.235950688,720,149.5061252,17202,951.5230887,803,0.596206309,1.805937759
夏阳街道,青浦区,0.22344609,626,190.1176162,27482,1546.878328,653,0.336667358,3.854702451
徐泾镇,青浦区,0.260228575,708,211.6180114,64003,1651.753273,898,0.646508245,0.589838825
朱家角镇,青浦区,0.143616955,1870,216.842129,30352,494.2814427,1520,0.140379029,4.414701109
白鹤镇,青浦区,0.165502861,815,158.7927119,15826,819.7347365,890,0.343073221,4.091529705
盈浦街道,青浦区,0.271957507,400,172.9338007,23916,3226.615698,555,0.53285155,2.879193788
练塘镇,青浦区,0.205131436,1902,174.6498721,11101,569.8037451,1230,0.144396508,19.31750772
赵巷镇,青浦区,0.220131006,465,143.8463895,38098,1169.307946,923,0.403795932,3.322599682
重固镇,青浦区,0.244436814,389,76.45428343,38098,964.3853564,325,0.31900021,4.582053809
金泽镇,青浦区,0.158049518,1883,203.0739557,30089,567.0279027,804,0.11337425,29.06321458
香花桥街道,青浦区,0.195425091,743,127.4051049,19287,557.2697045,835,0.484272945,3.516121834
南京西路街道,静安区,0.599842182,81,163.2473401,75659,26909.75947,566,0.854728358,1.156206595
曹家渡街道,静安区,0.577743996,52,274.975771,75371,49530.5301,236,0.874151422,0.061877853
江宁路街道,静安区,0.445376773,65,252.5290747,76940,36590.5172,405,0.881411845,0.117302861
石门二路街道,静安区,0.580904091,74,123.1313526,70195,30788.31501,311,0.857616358,0.524623953
静安寺街道,静安区,0.514768784,61,133.8496501,75498,22803.09589,517,0.879160112,0.12688816
半淞园路街道,黄浦区,0.437835097,112,423.2032421,48096,31325.12167,249,0.780571661,0.168093059
南京东路街道,黄浦区,0.657071625,247,347.8042564,49634,30696.50663,1099,0.771389871,0.931436219
外滩街道,黄浦区,0.639993521,206,304.9928476,119280,29476.5639,761,0.742378139,0.31804352
小东门街道,黄浦区,0.610873981,168,315.4201152,90241,25401.27192,219,0.685342852,0.186537732
老西门街道,黄浦区,0.680981989,124,333.4123561,94902,58131.20256,178,0.921546968,0.149567949
豫园街道,黄浦区,0.728644174,85,254.50292,83861,44958.88771,259,0.883565752,0.322986008
南桥镇,奉贤区,0.209350604,597,247.9552064,27271,1879.17873,1019,0.493021065,1.72427864
西渡街道,奉贤区,0.251156534,568,125.3764127,22469,1435.003948,461,0.364788576,1.840870924
浦江镇,闵行区,0.211723461,1350,430.2004937,14000,1733.334168,1442,0.430048502,2.796104201
浦锦街道,闵行区,0.217541016,475,188.1505437,31850,2589.225916,969,0.546228807,1.110817042
九亭镇,松江区,0.245046916,302,128.3267832,38370,1733.672801,552,0.653620557,2.110071214
九里亭街道,松江区,0.264127046,93,100.4315897,21400,5310.814984,373,0.800502016,0.326489373
方松街道,松江区,0.289975426,404,201.1359061,32542,4294.002496,758,0.61609601,1.015176872
广富林街道,松江区,0.184096189,238,165.2189918,24178,3070.538018,497,0.39818819,3.14927194
川沙新镇,浦东新区,0.21155503,1409,867.8087613,36113,1819.352706,2702,0.433400198,5.151757046
祝桥镇,浦东新区,0.168817287,1602,711.293852,24981,920.4718608,1958,0.397006008,3.19912674
老港镇,浦东新区,0.151603143,366,167.3470497,12630,508.4032005,268,0.211486355,19.39445227
泥城镇,浦东新区,0.245059551,1095,294.2263852,13852,984.8072382,860,0.344297666,1.207103185
长征镇,普陀区,0.317059593,165,165.9061266,56448,20673.58516,486,0.869782855,0.47837887
万里街道,普陀区,0.358677259,61,176.7148039,66348,52456.38837,135,0.811714433,0.275813904
四川北路街道,虹口区,0.570352807,101,110.8834351,63949,31244.214,191,0.894879203,0.174280693
奉浦街道,奉贤区,0.202386693,205,74.49988319,22264,1215.750319,432,0.598267626,1.030702353
金海街道,奉贤区,0.189010134,228,60.39964782,18403,1069.669805,333,0.376670945,3.892966464
奉城镇,奉贤区,0.226515159,1144,184.3329849,16523,870.4809646,653,0.319462041,3.558421542
头桥街道,奉贤区,0.227026333,612,84.36237516,10875,751.3390173,159,0.288945006,3.627983676
