,Unnamed: 0,STREET,AREA,road1,road2,gdp,price,pop,poi,build,access,ln_access,ln_road2,ln_gdp,ln_price,ln_pop,ln_poi,ln_road1,ln_build
17,17,外冈镇,嘉定区,0.122145189,314,126.9660809,18874,644.1350591,433,0.335817048,10.42603284,2.344305836158717,5.749392985908253,4.843919971258943,9.845540592581278,6.467908423215756,6.07073772800249,-2.102544868054855,-1.091188767312891
18,18,安亭镇,嘉定区,0.19657472,1528,502.9106464,28422,1441.90214,2054,0.621193926,1.878865559,0.6306681686432473,7.331714969726466,6.220412512967757,10.254918772151807,7.273718451464354,7.627544390488503,-1.626712665498297,-0.4761119656047324
19,19,徐行镇,嘉定区,0.13796804,730,137.8618451,17924,340.2330211,1005,0.404784218,8.087389986,2.090306056766955,6.593044534142437,4.926252061235634,9.793895875906033,5.829630739037385,6.912742820493176,-1.9807332148499097,-0.9044011489230503
20,20,新成路街道,嘉定区,0.282800445,313,313.6747496,27828,4324.70179,489,0.629073768,0.782007613,-0.245890803190096,5.746203190540153,5.748356619766972,10.233797987043532,8.372098466699782,6.192362489474872,-1.2630137714107452,-0.46350675093885335
21,21,江桥镇,嘉定区,0.227372787,608,406.7093043,29947,2480.193385,1819,0.698355252,1.657906839,0.5055558663527898,6.410174881966167,6.008098690202512,10.307184431581645,7.8160918139414965,7.506042178518122,-1.4811643750114458,-0.35902734867440184
22,22,真新街道,嘉定区,0.387530257,121,472.2428105,41044,23616.04396,432,0.813188664,2.21163636,0.793732675932497,4.795790545596741,6.15749328233773,10.622399940982099,10.069681588848331,6.068425588244111,-0.9479613506563762,-0.20679213731527035
23,23,马陆镇,嘉定区,0.208863182,648,401.3331303,43644,1818.957658,783,0.537486704,1.205672454,0.1870374644009195,6.473890696352274,5.994791831303519,10.68382109477499,7.506018900622125,6.663132695990803,-1.566075872961084,-0.6208512560304635
24,24,四团镇,奉贤区,0.203083226,930,192.3303976,14807,893.2099792,572,0.303227883,1.749474729,0.5593155880227947,6.835184586147301,5.259214713945334,9.602855320908718,6.794821692317385,6.349138991379798,-1.5941394036637413,-1.1932706670411475
25,25,庄行镇,奉贤区,0.171025519,686,135.8232174,10727,662.2336915,533,0.195816855,4.691066923,1.545660045499089,6.530877627725885,4.911354168110712,9.280519206597429,6.495618501952392,6.278521424165844,-1.7659424996956221,-1.630575469853146
26,26,柘林镇,奉贤区,0.164454414,1065,164.2361656,10016,547.421074,1038,0.299008585,17.49824858,2.8621007947781596,6.970730078143525,5.101305426115694,9.211939093339879,6.3052182942214,6.945051063725834,-1.8051218657221821,-1.207282993629061
27,27,海湾镇,奉贤区,0.115826463,687,43.45752743,17109,137.1292011,912,0.205492662,18.97060719,2.9428907913419025,6.532334292222349,3.771784080204753,9.747359919824648,4.920923555136118,6.815639990074331,-2.1556622166346555,-1.5823449537125918
28,28,金汇镇,奉贤区,0.237286404,1342,202.1810853,21526,944.2073044,713,0.306907686,6.739153371,1.9079343044230148,7.201916317531627,5.309163757700425,9.977016785824244,6.850345744155129,6.569481420414296,-1.4384874117456585,-1.1812082736817722
29,29,青村镇,奉贤区,0.202001591,1129,165.1450966,17976,765.4694562,639,0.292035878,11.56050811,2.447594816430525,7.029087564149662,5.1068244608117075,9.796792813865165,6.640489313844476,6.459904454377535,-1.599479705374326,-1.230878614398725
30,30,友谊路街道,宝山区,0.284084046,129,128.7542788,34543,13248.05645,335,0.741560742,0.830660591,-0.18553400197510936,4.859812404361672,4.857905772389687,10.449960203748262,9.491606137636495,5.814130531825066,-1.2584851479818169,-0.2989982030249023
31,31,吴淞街道,宝山区,0.296653856,171,87.09943764,37273,9956.748118,232,0.695184135,1.982333506,0.6842746891590841,5.14166355650266,4.467050427350817,10.526024482928522,9.20600580309111,5.44673737166631,-1.2151892878789035,-0.3635785260623537
32,32,大场镇,宝山区,0.224040875,708,372.2047334,41873,10221.61857,1045,0.754920993,1.663405181,0.5088668151524208,6.56244409369372,5.919444061483546,10.642396506792736,9.232260224016482,6.951772164398911,-1.4959267660955522,-0.28114218024189835
33,33,庙行镇,宝山区,0.282706875,108,97.81543306,45015,16627.1538,219,0.821206333,1.01721882,0.017072256164235477,4.68213122712422,4.583082366840795,10.714751046542577,9.718792409012634,5.389071729816501,-1.2633446955121481,-0.1969808819820487
34,34,张庙街道,宝山区,0.204812715,34,143.8483664,32583,30635.21949,206,0.85801495,0.921260094,-0.08201287868651347,3.5263605246161616,4.968759733659177,10.391545958948146,10.32990558981501,5.327876168789581,-1.5856593027830381,-0.15313375540355081
35,35,月浦镇,宝山区,0.150255881,361,161.7424652,25791,3457.199727,881,0.726268711,0.94212887,-0.05961320909176666,5.8888779583328805,5.086005349297534,10.157780872842554,8.148214212912842,6.78105762593618,-1.8954155649018773,-0.3198352072924768
36,36,杨行镇,宝山区,0.190627601,499,240.1752481,36944,6179.218684,1082,0.765669285,2.305873917,0.8354597442896311,6.212606095751519,5.481368857292042,10.517158531594276,8.728947115922011,6.9865664594064265,-1.6574334871233836,-0.26700494528915497
37,37,淞南镇,宝山区,0.209638982,257,128.1669258,38132,9196.659731,613,0.821862513,0.816365537,-0.20289306231325308,5.54907608489522,4.8533335221220995,10.548809103613468,9.126595624392884,6.418364935936212,-1.562368361003484,-0.19618215703941191
38,38,罗店镇,宝山区,0.200587287,542,215.8556841,32850,4954.240773,571,0.545555617,1.084419592,0.08104490561306357,6.295266001439646,5.37461005521974,10.399707023912757,8.50799921060425,6.3473892096560105,-1.606505780337948,-0.6059505229025053
39,39,罗泾镇,宝山区,0.177001498,445,74.6764782,18594,1864.149652,273,0.449220206,3.310964504,1.1972395378794338,6.09807428216624,4.313165159018405,9.830594227015803,7.530560277430561,5.60947179518496,-1.7315970831672851,-0.8002420749389563
40,40,顾村镇,宝山区,0.20303921,571,331.7560812,32691,8079.726728,849,0.616709783,3.382903682,1.218734418213833,6.3473892096560105,5.804400003714998,10.394855089644995,8.997113330151127,6.744059186311348,-1.594356165882573,-0.4833567336436737
41,41,高境镇,宝山区,0.277262818,102,128.474868,47627,18373.27394,278,0.870115256,0.157668602,-1.8472599043922115,4.624972813284271,4.855733305440521,10.771155106297904,9.81865238443075,5.627621113690637,-1.2827894211783364,-0.1391295979470448
42,42,凌云路街道,徐汇区,0.381237189,81,329.2485818,49793,22267.42562,378,0.85368235,0.32760293,-1.1159529832092747,4.394449154672439,5.79681303324889,10.81562969088395,10.010880155006296,5.934894195619588,-0.9643335542480473,-0.15819610988968658
43,43,华泾镇,徐汇区,0.298580116,120,188.4067947,64318,6285.674796,292,0.640230823,1.333412128,0.2877411667056811,4.787491742782046,5.23860342677855,11.07159480884204,8.746028481370805,5.676753802268282,-1.2087169868511753,-0.44592650671344186
44,44,天平路街道,徐汇区,0.317180996,78,358.8466961,122928,32362.75041,586,0.851606266,0.190728315,-1.656905298110884,4.356708826689592,5.8828952669227315,11.719354097107416,10.384763361689185,6.373319789577012,-1.14828270274384,-0.1606309880753681
45,45,康健新村街道,徐汇区,0.392840119,159,345.2177778,58902,20570.69423,296,0.808523538,0.54759788,-0.6022140570143438,5.0689042022202315,5.8441754578831935,10.983630324920576,9.931622731712888,5.69035945432406,-0.9343525717703002,-0.21254548721621397
46,46,徐家汇街道,徐汇区,0.37416012,137,432.2744543,116103,25761.29524,663,0.853929711,0.20955679,-1.562760502368179,4.919980925828125,6.069060697399217,11.662233007145423,10.15662846001014,6.4967749901858625,-0.9830714448461485,-0.1579063942014695
47,47,斜土路街道,徐汇区,0.311484967,94,265.0663648,135810,20191.36874,332,0.777785861,0.794583998,-0.2299365742388519,4.543294782270004,5.579980227840608,11.819012129098114,9.91301050197586,5.805134968916488,-1.1664042019512848,-0.2513040356206242
48,48,枫林路街道,徐汇区,0.392003794,156,396.3901975,79575,35713.64678,262,0.903430277,0.299563961,-1.2054273249617244,5.049856007249537,5.982399073340788,11.284455252150293,10.483288157469039,5.568344503761097,-0.9364837606670829,-0.10155634182245675
49,49,湖南路街道,徐汇区,0.437683141,60,192.5507784,94839,27145.21178,569,0.843840135,0.173932567,-1.7490876008599694,4.0943445622221,5.260359902839088,11.459935996049522,10.20895594811424,6.343880434126331,-0.8262600527763532,-0.16979221583429283
50,50,漕河泾街道,徐汇区,0.378531748,163,356.3991042,58597,16499.42511,537,0.887836763,1.626186854,0.4862379208824034,5.093750200806762,5.876051182125482,10.97843877971537,9.7110808174635,6.285998094508865,-0.9714553311546001,-0.1189673783383864
51,51,田林街道,徐汇区,0.320821573,69,332.3648245,65675,19981.42176,353,0.843723443,0.497312592,-0.6985364928500559,4.23410650459726,5.806233234577815,11.092473614553741,9.90255820883001,5.8664680569332965,-1.1368701577445552,-0.16993051225370745
52,52,虹梅路街道,徐汇区,0.319720199,92,101.8701799,72026,5628.42461,357,0.876384092,0.599296802,-0.5119983077578317,4.5217885770490405,4.62369925657666,11.184782443924378,8.635584861372738,5.877735781779639,-1.1403090438048953,-0.1319508229545488
53,53,长桥街道,徐汇区,0.27767387,155,402.7217422,64054,16600.44804,375,0.710798822,1.298164556,0.2609513868257796,5.043425116919247,5.998245857460287,11.067481756584877,9.717184964341847,5.926926025970411,-1.281307983442951,-0.3413658399905774
54,54,龙华街道,徐汇区,0.261802147,174,229.8425038,77804,9068.072155,386,0.755754101,1.313568185,0.2727472397211416,5.159055299214529,5.437394308276857,11.261948122726583,9.112514968697658,5.955837369464831,-1.3401662246232346,-0.28003921893967426
55,55,宜川路街道,普陀区,0.455922453,80,114.6563939,66173,47878.68844,130,0.837886063,0.182111065,-1.7031385307777316,4.382026634673881,4.741939776610641,11.100027803744739,10.776425766648437,4.867534450455582,-0.7854325431399845,-0.17687315075102145
