STREET,AREA,roads_perc,roads_nodes,gdp,housing_price,pop_density,pois,zone_perc,access,access_5k
方松街道,松江区,0.289975426,404,201.1359061,32542,4294.002496,758,0.61609601,1.015176872,25.73605319
广富林街道,松江区,0.184096189,238,165.2189918,24178,3070.538018,497,0.39818819,3.14927194,73.40197878
川沙新镇,浦东新区,0.21155503,1409,867.8087613,36113,1819.352706,2702,0.433400198,5.151757046,32.99658933
祝桥镇,浦东新区,0.168817287,1602,711.293852,24981,920.4718608,1958,0.397006008,3.19912674,15.12498609
老港镇,浦东新区,0.151603143,366,167.3470497,12630,508.4032005,268,0.211486355,19.39445227,43.8258115
泥城镇,浦东新区,0.245059551,1095,294.2263852,13852,984.8072382,860,0.344297666,1.207103185,2.423096165
长征镇,普陀区,0.317059593,165,165.9061266,56448,20673.58516,486,0.869782855,0.47837887,2.803103957
万里街道,普陀区,0.358677259,61,176.7148039,66348,52456.38837,135,0.811714433,0.275813904,1.416461823
四川北路街道,虹口区,0.570352807,101,110.8834351,63949,31244.214,191,0.894879203,0.174280693,1.701844392
奉浦街道,奉贤区,0.202386693,205,74.49988319,22264,1215.750319,432,0.598267626,1.030702353,2.392756591
金海街道,奉贤区,0.189010134,228,60.39964782,18403,1069.669805,333,0.376670945,3.892966464,13.64798449
奉城镇,奉贤区,0.226515159,1144,184.3329849,16523,870.4809646,653,0.319462041,3.558421542,104.9486038
头桥街道,奉贤区,0.227026333,612,84.36237516,10875,751.3390173,159,0.288945006,3.627983676,6.628301672
