,STREET,AREA,road1,road2,gdp,price,pop,poi,build,access,access_5k,ln_access_5k,ln_road2,ln_gdp,ln_price,ln_pop,ln_poi
53,长桥街道,徐汇区,0.27767387,155,402.7217422,64054,16600.44804,375,0.710798822,1.298164556,13.06937724,2.570271878451959,5.043425116919247,5.998245857460287,11.067481756584877,9.717184964341847,5.926926025970411
54,龙华街道,徐汇区,0.261802147,174,229.8425038,77804,9068.072155,386,0.755754101,1.313568185,8.178638155,2.10152565203571,5.159055299214529,5.437394308276857,11.261948122726583,9.112514968697658,5.955837369464831
55,宜川路街道,普陀区,0.455922453,80,114.6563939,66173,47878.68844,130,0.837886063,0.182111065,2.429610351,0.8877308951124043,4.382026634673881,4.741939776610641,11.100027803744739,10.776425766648437,4.867534450455582
56,曹杨新村街道,普陀区,0.503269383,132,96.47389502,55035,42644.60639,245,0.887228451,0.16154519,2.672371428,0.982966253498784,4.882801922586371,4.569272453820904,10.915724625457493,10.660656082789169,5.501258210544727
57,桃浦镇,普陀区,0.276433371,360,226.6648615,52129,11081.61522,541,0.762934685,1.313136045,9.817440758,2.2841604731253633,5.886104031450156,5.423472545499742,10.861476694765958,9.313042727655038,6.293419278846481
58,甘泉路街道,普陀区,0.363247883,56,115.6786467,46806,45435.79797,133,0.901821919,0.681522141,4.052526849,1.399340599898776,4.02535169073515,4.750816059690573,10.753766678816367,10.724055574867265,4.890349128221754
59,真如镇街道,普陀区,0.406220635,242,72.78180971,46415,11214.8972,334,0.874849806,0.619958061,1.858901847,0.6199859085288324,5.488937726156687,4.287466057359896,10.745377961834032,9.324998280617157,5.811140992976701
60,石泉路街道,普陀区,0.366548254,89,115.8178976,52179,31101.18926,292,0.891885128,0.342628484,1.272878476,0.24128085233185007,4.48863636973214,4.752019109327588,10.862435394076263,10.345001337307583,5.676753802268282
61,长寿路街道,普陀区,0.447068752,122,128.9485029,66033,29740.61484,420,0.832645596,0.140296374,1.463715531,0.380978087232368,4.804021044733257,4.85941312233363,11.097909896050213,10.300268893640391,6.040254711277414
62,长风新村街道,普陀区,0.342494538,125,124.6770622,59392,19488.18903,1761,0.794315091,0.299492537,8.781894864,2.1726922003074445,4.8283137373023015,4.825726891900967,10.991914816145872,9.877563870277852,7.473637108496206
63,五角场街道,杨浦区,0.358997562,277,258.6310577,61406,19430.76322,565,0.85902052,0.149074267,2.249593989,0.8107497506000556,5.6240175061873385,5.555402558507687,11.025262829230666,9.87461282209411,6.336825731146441
64,长海路街道,杨浦区,0.284606847,200,298.3760388,64943,18726.90355,616,0.762184212,0.654914627,6.453533928,1.8646278765815247,5.298317366548036,5.69835456617786,11.08126524107888,9.837716461429522,6.423246963533519
65,四平路街道,杨浦区,0.370796608,105,165.216499,64829,34974.47821,191,0.860011404,0.134499722,2.328021401,0.845018722696353,4.653960350157523,5.10725672898127,11.079508313092495,10.462373880480293,5.25227342804663
66,大桥街道,杨浦区,0.41214598,155,170.4824633,68371,21605.80433,140,0.80818734,0.514833192,1.431128643,0.3584633938084292,5.043425116919247,5.1386324368882255,11.13270403709896,9.980717276555259,4.941642422609304
67,定海路街道,杨浦区,0.282824735,99,160.1632469,61406,14245.14611,180,0.661716783,0.427377708,0.798202554,-0.22539288667329915,4.59511985013459,5.076193588213567,11.025262829230666,9.564171503811664,5.19295685089021
68,平凉路街道,杨浦区,0.410321127,155,103.2350635,84151,17969.14792,174,0.76314586,0.317512169,2.608151698,0.9586418087838493,5.043425116919247,4.637008557938121,11.340368083089638,9.796411561847606,5.159055299214529
69,延吉新村街道,杨浦区,0.337344393,47,151.7584391,44336,43243.5974,127,0.817197028,0.946402946,5.925292492,1.7792300515411434,3.8501476017100584,5.02229004025494,10.69955226710276,10.674604464407249,4.844187086458591
70,控江路街道,杨浦区,0.592643005,83,183.7260236,48536,47915.30487,166,0.906243702,0.37428263,2.108173273,0.745821825118897,4.418840607796598,5.213445645769669,10.790061069622134,10.777190249483281,5.111987788356544
71,新江湾城街道,杨浦区,0.277913972,190,124.0272209,94540,7910.641265,717,0.614144674,0.27353329,4.771167311,1.5625909942485812,5.247024072160486,4.820501064900401,11.456778304347228,8.97596412764004,6.57507584059962
